"description","dataelement_formname","dataelement_uid",
"Check if VEO, HFGC members, or CHW are present for opening of the suggestion box, or information provided to HFGC or community from feedback mechanism.","7.1.3 4.Is thereany community participation and engagement arising from the feedback mechanism?","xEjSzQqbbMx",
,"7.1.3 Method in place","ri6OwjEYp9Z",
"Conduct a structured exit interview of five clients selected from various service points.  Use the 10-point exit interview to score client satisfaction. Record the score for each client.","7.2.1 1. Are clients satisfied with their visit to the facility?","rpxLkOijoDl",
"Conduct a structured exit interview of five clients selected from various service points.  Use the 10-point exit interview to score client satisfaction. Record the score for each client.","7.2.1 1. Are clients satisfied with their visit to the facility?","rpxLkOijoDl",
"Conduct a structured exit interview of three clients selected from various service points. Use the 10-point exit interview to score   client satisfaction. Obtain the average client satisfaction score from 3 exit interviews. Record their comments and suggestions for improvement of services. Inform the facility staff during the feedback session.","7.2.1 1. Are clients satisfied with their visit to the facility?","RZyZV3Vy2IX",
,"7.2.1 1. Is CLIENT 1 satisfied with their visit to the facility?","UgfOIrKmYaM",
,"7.2.1 1. Is the client 1 satisfied with their visit to the facility?","llDuoQge7Lv",
,"7.2.1 1. Is the client 1 satisfied with their visit to the facility?","llDuoQge7Lv",
,"7.2.1 2. Is client 1 satisfied with their visit to the facility?","FOsSjmPS7W0",
,"7.2.1 2. Is CLIENT 2 satisfied with their visit to the facility?","ODeXCQl6Uoo",
,"7.2.1 2. Is CLIENT 3 satisfied with their visit to the facility?","HwaDguuitjx",
,"7.2.1 2. Is the client 2 satisfied with their visit to the facility?","Jvzff2NUJOL",
,"7.2.1 2. Is the client 2 satisfied with their visit to the facility?","Jvzff2NUJOL",
,"7.2.1 3. Is client 2 satisfied with their visit to the facility?","tBOcjazYRfc",
,"7.2.1 3. Is the client 3 satisfied with their visit to the facility?","QE4nCIOj6tj",
,"7.2.1 3. Is the client 3 satisfied with their visit to the facility?","QE4nCIOj6tj",
,"7.2.1 4. Is client 3 satisfied with their visit to the facility?","SjFVgHwJVz4",
,"7.2.1  4. Is the client 4 satisfied with their visit to the facility","QdAIbqz3IWU",
,"7.2.1  4. Is the client 4 satisfied with their visit to the facility","QdAIbqz3IWU",
,"7.2.1 5. Is client 4 satisfied with their visit to the facility?","vvzVzzd82St",
,"7.2.1 5. Is the client 5 satisfied with their visit to the facility?","dHFvBRyFjZi",
,"7.2.1 5. Is the client 5 satisfied with their visit to the facility?","dHFvBRyFjZi",
,"7.2.1 6. Is client 5 satisfied with their visit to the facility?","xfXmWQVmnTa",
,"7.2.1 Any of the following will qualify: suggestion box, client help desk, display of contact details for phone or SMS feedback. Specify the method(s) in use.","VsyX15rXOxM",
"Check attendance of local/village meetings, (including social service committee meeting). Interview VEO or check minutes of village meeting or community meetings to verify attendance of health worker in the last 6 months.","8.1.1  1. Are healthcare workers seen to be engaged with local community concerns related to health care delivery?","gNnwaBhVfeH",
"Check attendance of local/village meetings, (including social service committee meeting). Interview VEO or check minutes of village meeting or community meetings to verify attendance of health worker in the last 6 months.","8.1.1 1. Are healthcare workers seen to be engaged with local community concerns related to health care delivery?","BYIE8HuBngS",
"Check attendance of local/village meetings, (including social service committee meeting). Interview VEO or check minutes of village meeting or community meetings to verify attendance of health worker in the last 6 months.","8.1.1 1. Are healthcare workers seen to be engaged with local community concerns related to health care delivery?","BYIE8HuBngS",
,"8.1.1 1. Are healthcare workers seen to be engaged with local community concerns related to health care delivery?","BIT2Fbm3Itj",
"Check health facility plan to verify interventions which address local community concerns related to health care delivery.","8.1.2 1. Does the facility management team plan specific interventions to address local health concerns and improve services?","hAmbw1FEYzQ",
"Check health facility plan to verify interventions which address local community concerns related to health care delivery.","8.1.2 1. Does the facility management team plan specific interventions to address local health concerns and improve services?","HhodsFwaB1h",
"Check health facility plan to verify interventions which address local community concerns related to health care delivery.","8.1.2 1. Does the facility management team plan specific interventions to address local health concerns and improve services?","HhodsFwaB1h",
,"8.1.2 1. Does the facility management team plan specific interventions to address local health concerns and improve services?","AlAsZVA1vZR",
"Check the minutes from facility meetings for preparation of annual plans HF in order to verify attendance of community member (s) e.g. member from HFGC/VEO, Village chairperson","8.1.3  1. Is the community engaged during the process of annual planning by the facility?","dj1CdgOLRZs",
,"8.1.3 1. Is the community engaged during the process of annual planning by the facility?","AsY66vrDLGP",
"Check the minutes from facility meetings for preparation of annual plans HF in order to verify attendance of community member (s) e.g. member from CHGC","8.1.3 1. Is the community engaged during the process of annual planning by the facility?","p73IB4ekSMg",
"Check the minutes from facility meetings for preparation of annual plans HF in order to verify attendance of community member (s) e.g. member from CHGC","8.1.3 1. Is the community engaged during the process of annual planning by the facility?","p73IB4ekSMg",
"Check that the information can be viewed by the public","8.1.4 1. Is information displayed on availability of the following resources : (a) Plans and budget? (b) Allocation of medicines & Supplies? (c) Revenue collection, received funds and expenditure?","laugU3YZnus",
,"8.1.4 1. Is information displayed on availability of the following resources : (a) Plans and Budget? (b) Allocation of medicines & supplies? (c) Revenue collection, received funds and expenditure?","Rc3iuYEqZFJ",
,"8.1.4 1. Is information displayed on availability of the following resources : (a) Plans and Budget? (b) Allocation of medicines & supplies? (c) Revenue collection, received funds and expenditure?","QeNNOPIOr1C",
"Verify from the health facility records","8.2.1 1. Is there an HFGC (or HFB) and up to date list of members including their contact information?","FuPq1bJJPFP",
"Verify from the health facility records","8.2.1 1. Is there an HFGC (or HFB) and up to date list of members including their contact information?","YJESJDXyWgO",
"Verify from the health facility records","8.2.1 1. Is there an HFGC (or HFB) and up to date list of members including their contact information?","FuPq1bJJPFP",
,"8.2.1 1. Is there an up to date list of HFGC/ HFB members including their contact information?","JomZUezoiHg",
,"8.2.1 2. Do HFGC/ HFB members attend meetings?","NkUMuNtLXDi",
"Check minutes over the last 6 months to see whether HGFC meetings were held with 6 or more members attending (quorum) Yes","8.2.1 2. Do HFGC (or HFB) members attend meetings?","c2b0Sg4WAY0",
"Check minutes over the last 6 months to see whether HGFC meetings were held with 6 or more members attending (quorum)","8.2.1 2. Do HFGC (or HFB) members attend meetings?","m21bhygsNGy",
"Check minutes over the last 6 months to see whether HGFC meetings were held with 6 or more members attending (quorum) Yes","8.2.1 2. Do HFGC (or HFB) members attend meetings?","c2b0Sg4WAY0",
,"8.2.1 3. Were HFGC/ HFB members adequately trained and oriented on their roles and responsibilities?","wxW0sH8dqyW",
"Check training or orientation report and confirm that roles and responsibilities of HFGC /HFB were adequately covered. Interview member of HFGC /HFB if possible.","8.2.1 3. Were HFGC (or HFB) members adequately trained and oriented on their roles and responsibilities?","IxbAWLC6bjn",
